iter	Passed	Remaining
1369	56500	67223
1370	56542	67183
1371	56581	67139
1372	56623	67098
1373	56663	67055
1374	56700	67010
1375	56738	66964
1376	56779	66922
1377	56822	66884
1378	56863	66842
1379	56902	66798
1380	56940	66753
1381	56981	66712
1382	57021	66669
1383	57059	66624
1384	57098	66580
1385	57145	66546
1386	57185	66503
1387	57228	66463
1388	57263	66416
1389	57303	66373
1390	57343	66329
1391	57382	66286
1392	57422	66243
1393	57458	66197
1394	57499	66155
1395	57538	66112
1396	57579	66070
1397	57619	66026
1398	57658	65983
1399	57697	65939
1400	57736	65896
1401	57774	65851
1402	57814	65808
1403	57854	65766
1404	57897	65726
1405	57935	65681
1406	57973	65636
1407	58012	65593
1408	58054	65553
1409	58095	65512
1410	58138	65473
1411	58180	65432
1412	58223	65393
1413	58269	65357
1414	58306	65311
1415	58342	65264
1416	58384	65224
1417	58422	65179
1418	58462	65136
1419	58502	65094
1420	58541	65051
1421	58581	65008
1422	58622	64967
1423	58660	64922
1424	58701	64880
1425	58740	64836
1426	58782	64796
1427	58820	64751
1428	58858	64707
1429	58896	64662
1430	58939	64623
1431	58977	64578
1432	59017	64536
1433	59058	64494
1434	59099	64453
1435	59140	64411
1436	59181	64370
1437	59219	64326
1438	59259	64283
1439	59296	64238
1440	59334	64193
1441	59375	64152
1442	59413	64107
1443	59452	64063
1444	59489	64018
1445	59526	63972
1446	59569	63933
1447	59613	63895
1448	59656	63856
1449	59695	63812
1450	59733	63767
1451	59775	63727
1452	59817	63687
1453	59860	63647
1454	59902	63607
1455	59945	63568
1456	59984	63525
1457	60026	63484
1458	60066	63442
1459	60107	63400
1460	60151	63363
1461	60195	63325
1462	60236	63283
1463	60274	63238
1464	60315	63197
1465	60358	63158
1466	60399	63117
1467	60441	63076
1468	60480	63033
1469	60519	62989
1470	60560	62948
1471	60600	62905
1472	60643	62866
1473	60680	62821
1474	60721	62780
1475	60765	62741
1476	60803	62697
1477	60841	62652
1478	60881	62610
1479	60924	62570
1480	60967	62531
1481	61008	62490
1482	61050	62449
1483	61090	62407
1484	61135	62370
1485	61175	62328
1486	61214	62285
1487	61255	62243
1488	61297	62202
1489	61336	62159
1490	61376	62117
1491	61416	62075
1492	61455	62031
1493	61496	61990
1494	61535	61947
1495	61581	61910
1496	61620	61867
1497	61662	61827
1498	61699	61781
1499	61736	61736
1500	61779	61697
1501	61821	61656
1502	61865	61618
1503	61907	61577
1504	61949	61537
1505	61989	61495
1506	62031	61455
1507	62073	61415
1508	62116	61375
1509	62155	61332
1510	62196	61290
1511	62234	61246
1512	62273	61203
1513	62310	61157
1514	62350	61115
1515	62389	61073
1516	62428	61028
1517	62467	60986
1518	62506	60942
1519	62546	60900
1520	62587	60858
1521	62625	60815
1522	62665	60772
1523	62704	60729
1524	62745	60688
1525	62786	60647
1526	62826	60605
1527	62867	60563
1528	62905	60519
1529	62946	60478
1530	62983	60433
1531	63029	60396
1532	63069	60354
1533	63113	60316
1534	63148	60268
1535	63187	60225
1536	63230	60185
1537	63272	60145
1538	63312	60103
1539	63351	60060
1540	63392	60018
1541	63434	59978
1542	63473	59936
1543	63508	59889
1544	63548	59846
1545	63592	59808
1546	63633	59767
1547	63675	59726
1548	63712	59682
1549	63753	59640
1550	63794	59598
1551	63831	59554
1552	63879	59519
1553	63921	59478
1554	63962	59437
1555	64004	59397
1556	64042	59353
1557	64080	59309
1558	64121	59267
1559	64161	59225
1560	64203	59185
1561	64243	59143
1562	64288	59105
1563	64327	59062
1564	64367	59021
1565	64406	58977
1566	64444	58933
1567	64484	58891
1568	64526	58850
1569	64573	58815
1570	64617	58776
1571	64655	58733
1572	64691	58686
1573	64731	58645
1574	64774	58605
1575	64814	58562
1576	64851	58518
1577	64893	58478
1578	64930	58433
1579	64970	58390
1580	65011	58350
1581	65050	58306
1582	65088	58263
1583	65130	58223
1584	65168	58178
1585	65208	58136
1586	65245	58091
1587	65290	58054
1588	65332	58014
1589	65375	57974
1590	65417	57933
1591	65457	57892
1592	65495	57848
1593	65534	57804
1594	65574	57762
1595	65615	57721
1596	65653	57678
1597	65691	57634
1598	65730	57591
1599	65771	57549
1600	65811	57508
1601	65851	57465
1602	65892	57425
1603	65937	57386
1604	65978	57345
1605	66040	57322
1606	66093	57291
1607	66132	57248
1608	66168	57203
1609	66207	57160
1610	66245	57116
1611	66285	57074
1612	66326	57033
1613	66364	56989
1614	66406	56949
1615	66446	56906
1616	66485	56864
1617	66526	56822
1618	66568	56782
1619	66608	56740
1620	66648	56698
1621	66682	56651
1622	66726	56612
1623	66764	56569
1624	66804	56526
1625	66842	56483
1626	66880	56439
1627	66916	56393
1628	66953	56349
1629	66993	56307
1630	67031	56263
1631	67071	56221
1632	67112	56180
1633	67152	56138
1634	67193	56097
1635	67232	56054
1636	67279	56018
1637	67317	55974
1638	67355	55930
1639	67395	55888
1640	67431	55843
1641	67473	55803
1642	67512	55760
1643	67553	55718
1644	67591	55675
1645	67632	55634
1646	67678	55597
1647	67716	55553
1648	67760	55515
1649	67798	55471
1650	67838	55429
1651	67875	55385
1652	67914	55341
1653	67954	55300
1654	67992	55256
1655	68031	55214
1656	68072	55173
1657	68112	55130
1658	68154	55090
1659	68191	55046
1660	68229	55002
